,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,dominant_topic
61,0.0,0.07,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.22,0.38,0.0,0.15,0.0,0.0,0.02,0.0,13
62,0.0,0.0,0.0,0.0,0.43,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,4
63,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.04,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,16
64,0.0,0.0,0.23,0.0,0.18,0.0,0.0,0.18,0.0,0.0,0.11,0.18,0.0,0.0,0.0,0.02,0.1,0.0,0.0,0.0,2
65,0.0,0.32,0.0,0.0,0.37,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.16,0.0,0.0,4
66,0.0,0.0,0.0,0.03,0.27,0.1,0.0,0.16,0.0,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
67,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,16
68,0.0,0.0,0.04,0.3,0.32,0.13,0.02,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,4
69,0.0,0.0,0.0,0.0,0.41,0.0,0.0,0.19,0.0,0.0,0.0,0.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
70,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.11,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.66,0.0,0.0,0.0,16
71,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,16
72,0.0,0.03,0.07,0.0,0.09,0.0,0.23,0.0,0.13,0.0,0.32,0.0,0.0,0.03,0.0,0.1,0.0,0.0,0.0,0.0,10
73,0.0,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.2,0.01,0.08,0.04,0.35,0.14,0.04,0.0,0.0,0.0,14
74,0.0,0.0,0.0,0.0,0.18,0.0,0.0,0.13,0.0,0.0,0.0,0.07,0.04,0.2,0.0,0.29,0.08,0.0,0.0,0.0,15
75,0.0,0.26,0.0,0.0,0.29,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.33,0.0,0.06,0.04,0.0,0.0,0.0,13
76,0.0,0.0,0.0,0.03,0.16,0.05,0.0,0.29,0.0,0.0,0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11
77,0.04,0.06,0.0,0.0,0.27,0.05,0.04,0.0,0.17,0.08,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.06,0.0,0.04,4
78,0.0,0.0,0.54,0.0,0.18,0.0,0.09,0.0,0.11,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
79,0.0,0.0,0.01,0.14,0.13,0.0,0.0,0.56,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
